layer,type,Xi,Yi,C,M,R,S,Xo,Yo
1,1,224,224,3,64,3,3,224,224
2,1,224,224,64,64,3,3,224,224
3,1,112,112,64,128,3,3,112,112
4,1,112,112,128,128,3,3,112,112
5,1,56,56,128,256,3,3,56,56
6,1,56,56,256,256,3,3,56,56
7,1,56,56,256,256,3,3,56,56
8,1,28,28,256,512,3,3,28,28
9,1,28,28,512,512,3,3,28,28
10,1,28,28,512,512,3,3,28,28
11,1,14,14,512,512,3,3,14,14
12,1,14,14,512,512,3,3,14,14
13,1,14,14,512,512,3,3,14,14
14,2,3,3,2788,4096,3,3,1,1
15,2,3,3,456,4096,3,3,1,1
16,2,3,3,456,1000,3,3,1,1
